datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu
2022-07-06,3939176,3890199,40371,21461942,33630579,218,128,3,770,773
2022-07-07,3940725,3891713,40374,21466177,33633973,1549,1514,3,4235,3394
2022-07-08,3942566,3892822,40375,21471046,33637004,1841,1109,1,4869,3031
2022-07-09,3943044,3893882,40377,21472608,33638021,478,1060,2,1562,1017
2022-07-10,3943291,3894924,40377,21473369,33638811,247,1042,0,761,790
2022-07-11,3945328,3896112,40380,21478115,33643142,2037,1188,3,4746,4331
2022-07-12,3947312,3896385,40383,21482863,33646573,1984,273,3,4748,3431
2022-07-13,3949300,3896593,40383,21487893,33649767,1988,208,0,5030,3194
2022-07-14,3951022,3898102,40385,21492308,33653132,1722,1509,2,4415,3365
2022-07-15,3953318,3898425,40390,21498115,33656715,2296,323,5,5807,3583
2022-07-16,3953899,3898684,40396,21499951,33657785,581,259,6,1836,1070
2022-07-17,3954160,3900544,40400,21500886,33658753,261,1860,4,935,968
2022-07-18,3957062,3902130,40403,21506138,33664239,2902,1586,3,5252,5486
2022-07-19,3960301,3902508,40406,21513174,33668289,3239,378,3,7036,4050
2022-07-20,3963068,3902808,40413,21519650,33672035,2767,300,7,6476,3746
2022-07-21,3965777,3905295,40418,21525406,33676152,2709,2487,5,5756,4117
2022-07-22,3968660,3907147,40426,21531432,33680399,2883,1852,8,6026,4247
2022-07-23,3969620,3908953,40438,21533976,33681721,960,1806,12,2544,1322
2022-07-24,3969968,3910704,40444,21534922,33682804,348,1751,6,946,1083
2022-07-25,3973740,3912843,40455,21541685,33688675,3772,2139,11,6763,5871
2022-07-26,3977178,3913301,40470,21548698,33693098,3438,458,15,7013,4423
2022-07-27,3980160,3913708,40483,21555285,33696962,2982,407,13,6587,3864
2022-07-28,3982721,3917416,40501,21560863,33700912,2561,3708,18,5578,3950
2022-07-29,3985521,3920228,40516,21567730,33705018,2800,2812,15,6867,4106
2022-07-30,3986164,3922897,40523,21569680,33706283,643,2669,7,1950,1265
2022-07-31,3986491,3925465,40548,21570644,33707453,327,2568,25,964,1170
2022-08-01,3989944,3928261,40561,21577916,33713250,3453,2796,13,7272,5797
2022-08-02,3993030,3928907,40579,21584241,33717311,3086,646,18,6325,4061
2022-08-03,3995708,3929313,40588,21590058,33720869,2678,406,9,5817,3558
2022-08-04,3997862,3933703,40603,21594696,33724431,2154,4390,15,4638,3562
2022-08-05,4000276,3936864,40613,21600225,33728124,2414,3161,10,5529,3693
2022-08-06,4000799,3939658,40625,21601736,33729097,523,2794,12,1511,973
2022-08-07,4001076,3942125,40636,21602526,33730043,277,2467,11,790,946
2022-08-08,4004035,3944688,40651,21608282,33735302,2959,2563,15,5756,5259
2022-08-09,4006455,3945250,40660,21613622,33739080,2420,562,9,5340,3778
2022-08-10,4008664,3945664,40672,21618871,33742644,2209,414,12,5249,3564
2022-08-11,4010600,3949665,40684,21623240,33746119,1936,4001,12,4369,3475
2022-08-12,4012797,3952541,40696,21628586,33749588,2197,2876,12,5346,3469
2022-08-13,4013371,3955016,40707,21630134,33750588,574,2475,11,1548,1000
2022-08-14,4013652,3957087,40718,21630878,33751535,281,2071,11,744,947
2022-08-15,4016532,3959350,40726,21636465,33756824,2880,2263,8,5587,5289
2022-08-16,4019337,3959827,40733,21641955,33760579,2805,477,7,5490,3755
2022-08-17,4021740,3960192,40748,21647045,33764095,2403,365,15,5090,3516
2022-08-18,4023641,3963566,40767,21651255,33767834,1901,3374,19,4210,3739
2022-08-19,4025745,3965906,40784,21656130,33771330,2104,2340,17,4875,3496
2022-08-20,4026219,3967878,40794,21657424,33772256,474,1972,10,1294,926
2022-08-21,4026424,3969813,40809,21658121,33773095,205,1935,15,697,839
2022-08-22,4028967,3971895,40819,21663035,33778013,2543,2082,10,4914,4918
2022-08-23,4031182,3972417,40821,21667833,33781470,2215,522,2,4798,3457
2022-08-24,4033048,3972818,40830,21672165,33784707,1866,401,9,4332,3237
2022-08-25,4034661,3976362,40837,21676024,33787910,1613,3544,7,3859,3203
2022-08-26,4036512,3978897,40845,21680392,33790975,1851,2535,8,4368,3065
2022-08-27,4036956,3981059,40856,21681684,33791776,444,2162,11,1292,801
2022-08-28,4037167,3982930,40860,21682259,33792600,211,1871,4,575,824
2022-08-29,4039839,3984890,40870,21687135,33797753,2672,1960,10,4876,5153
2022-08-30,4042096,3985306,40883,21691983,33801278,2257,416,13,4848,3525
2022-08-31,4044031,3985636,40888,21696402,33804595,1935,330,5,4419,3317
2022-09-01,4045655,3988627,40896,21700112,33807849,1624,2991,8,3710,3254
2022-09-02,4047507,3990713,40899,21704669,33811141,1852,2086,3,4557,3292
2022-09-03,4047889,3992459,40901,21705905,33811801,382,1746,2,1236,660
2022-09-04,4048066,3994038,40906,21706512,33812495,177,1579,5,607,694
2022-09-05,4050830,3995803,40914,21711516,33818461,2764,1765,8,5004,5966
2022-09-06,4053282,3996154,40926,21716661,33822688,2452,351,12,5145,4227
2022-09-07,4055570,3996455,40936,21721779,33826672,2288,301,10,5118,3984
2022-09-08,4057680,3999509,40945,21726259,33830787,2110,3054,9,4480,4115
2022-09-09,4060006,4001654,40952,21731677,33834709,2326,2145,7,5418,3922
2022-09-10,4060465,4003508,40957,21733166,33835529,459,1854,5,1489,820
2022-09-11,4060739,4004998,40962,21733959,33836387,274,1490,5,793,858
2022-09-12,4064019,4006818,40972,21740522,33843813,3280,1820,10,6563,7426
2022-09-13,4067048,4007131,40979,21747097,33849147,3029,313,7,6575,5334
2022-09-14,4069675,4007422,40987,21753389,33854433,2627,291,8,6292,5286
2022-09-15,4072165,4010600,40997,21759124,33859673,2490,3178,10,5735,5240
2022-09-16,4074739,4012958,41003,21765386,33864606,2574,2358,6,6262,4933
2022-09-17,4075192,4015165,41009,21767089,33865460,453,2207,6,1703,854
2022-09-18,4075492,4017236,41019,21767877,33866343,300,2071,10,788,883
2022-09-19,4079258,4019437,41026,21775092,33875448,3766,2201,7,7215,9105
2022-09-20,4082451,4019828,41036,21782523,33882172,3193,391,10,7431,6724
2022-09-21,4085461,4020168,41044,21789489,33888513,3010,340,8,6966,6341
2022-09-22,4088035,4024140,41054,21795701,33894455,2574,3972,10,6212,5942
2022-09-23,4090912,4026901,41064,21802426,33900364,2877,2761,10,6725,5909
2022-09-24,4091480,4029492,41074,21803950,33901435,568,2591,10,1524,1071
2022-09-25,4091767,4031856,41088,21804790,33902421,287,2364,14,840,986
2022-09-26,4096519,4034239,41100,21812001,33912729,4752,2383,12,7211,10308
2022-09-27,4100746,4034655,41113,21820005,33920143,4227,416,13,8004,7414
2022-09-28,4101515,4034970,41132,21821829,33921086,769,315,19,1824,943
2022-09-29,4105198,4039177,41141,21827767,33929054,3683,4207,9,5938,7968
2022-09-30,4109052,4042246,41159,21835391,33935469,3854,3069,18,7624,6415
2022-10-01,4109718,4045096,41173,21837479,33936547,666,2850,14,2088,1078
2022-10-02,4110073,4047502,41186,21838199,33937592,355,2406,13,720,1045
2022-10-03,4114900,4050259,41203,21845301,33948730,4827,2757,17,7102,11138
2022-10-04,4118345,4050800,41220,21851691,33956134,3445,541,17,6390,7404
2022-10-05,4121637,4051238,41242,21858165,33962591,3292,438,22,6474,6457
2022-10-06,4124444,4056465,41256,21863724,33968549,2807,5227,14,5559,5958
2022-10-07,4127277,4060354,41280,21869585,33974262,2833,3889,24,5861,5713
2022-10-08,4127852,4060813,41295,21871288,33975278,575,459,15,1703,1016
2022-10-09,4128131,4064800,41314,21872081,33976275,279,3987,19,793,997
2022-10-10,4131971,4068256,41338,21878171,33986036,3840,3456,24,6090,9761
2022-10-11,4134913,4068882,41364,21884201,33992486,2942,626,26,6030,6450
2022-10-12,4137103,4069378,41387,21889547,33998058,2190,496,23,5346,5572
2022-10-13,4139380,4074718,41404,21893725,34003304,2277,5340,17,4178,5246
2022-10-14,4141299,4077906,41421,21898829,34007873,1919,3188,17,5104,4569
2022-10-15,4141641,4081059,41434,21900093,34008647,342,3153,13,1264,774
2022-10-16,4141858,4083627,41450,21900818,34009565,217,2568,16,725,918
2022-10-17,4144271,4086358,41462,21905514,34017682,2413,2731,12,4696,8117
2022-10-18,4146620,4086888,41475,21911819,34023197,2349,530,13,6305,5515
2022-10-19,4148081,4087303,41487,21915948,34028010,1461,415,12,4129,4813
2022-10-20,4149725,4091561,41503,21919440,34032439,1644,4258,16,3492,4429
2022-10-21,4151063,4094329,41516,21923091,34036455,1338,2768,13,3651,4016
2022-10-22,4151331,4096442,41529,21924453,34037143,268,2113,13,1362,688
2022-10-23,4151486,4098409,41542,21925136,34038023,155,1967,13,683,880
2022-10-24,4153275,4100216,41555,21929139,34044706,1789,1807,13,4003,6683
2022-10-25,4154609,4100549,41563,21932343,34049181,1334,333,8,3204,4475
2022-10-26,4155693,4100873,41570,21935100,34052992,1084,324,7,2757,3811
2022-10-27,4156644,4103935,41586,21937705,34056213,951,3062,16,2605,3221
2022-10-28,4156823,4105861,41596,21938921,34056827,179,1926,10,1216,614
2022-10-29,4156973,4107362,41606,21939512,34057520,150,1501,10,591,693
2022-10-30,4157067,4108656,41614,21940073,34058227,94,1294,8,561,707
2022-10-31,4158457,4109995,41619,21943240,34064721,1390,1339,5,3167,6494
2022-11-01,4159554,4110267,41630,21946294,34069022,1097,272,11,3054,4301
2022-11-02,4160349,4110565,41639,21948989,34072903,795,298,9,2695,3881
2022-11-03,4161016,4112552,41653,21951349,34076355,667,1987,14,2360,3452
2022-11-04,4161650,4113846,41662,21953523,34079673,634,1294,9,2174,3318
2022-11-05,4161794,4114919,41668,21954258,34080229,144,1073,6,735,556
2022-11-06,4161874,4115734,41681,21954655,34080799,80,815,13,397,570
2022-11-07,4162786,4115969,41694,21957971,34086396,912,235,13,3316,5597
2022-11-08,4163489,4116225,41700,21960403,34090260,703,256,6,2432,3864
2022-11-09,4164106,4116429,41707,21962520,34093741,617,204,7,2117,3481
2022-11-10,4164641,4118042,41715,21964357,34096911,535,1613,8,1837,3170
2022-11-11,4165155,4119034,41721,21966542,34099835,514,992,6,2185,2924
2022-11-12,4165271,4119814,41729,21967269,34100390,116,780,8,727,555
2022-11-13,4165339,4120389,41736,21967570,34101008,68,575,7,301,618
2022-11-14,4166150,4121094,41740,21969881,34106302,811,705,4,2311,5294
2022-11-15,4166761,4121252,41747,21971828,34110359,611,158,7,1947,4057
2022-11-16,4167311,4121415,41752,21973847,34113815,550,163,5,2019,3456
2022-11-17,4167387,4122421,41756,21974319,34114668,76,1006,4,472,853
2022-11-18,4167825,4123091,41762,21976205,34117791,438,670,6,1886,3123
2022-11-19,4167944,4123703,41766,21976879,34118292,119,612,4,674,501
2022-11-20,4168023,4124169,41769,21977160,34118836,79,466,3,281,544
2022-11-21,4168868,4124741,41774,21979496,34124715,845,572,5,2336,5879
2022-11-22,4169493,4124907,41774,21981847,34128683,625,166,0,2351,3968
